,T cells CD4 CCR7,T cells CD4 IL7R,T cells CD4 Tfh CXCL13,T regs FOXP3,B cells memory,B cells naive,NK,Macrophage M1,Macrophage M2,Endothelial,MDSC,T cell CD8 activation,T cell CD8 deletional tolerance,T cell CD8 TIL dysfunction,cDC,pDC,Terminal exhaustion,Precursor exhaustion,CAFs MSC iCAF-like,CAFs myCAF-like,PVL differentiated,PVL immature,Normal epithelial,Plasmablasts,Melanoma
0,CCR7,IL7R,CXCL13,TNFRSF4,MS4A1,CD79A,GNLY,C1QB,CXCL10,ACKR1,ITGAM,CD69,TNFSF11,NPEPPS,CD80,IL3RA,CD3G,TCF7,APOD,COL1A1,ACTA2,CCL19,KRT14,IGKV3-15,PMEL
1,LTB,ANXA1,NMB,LTB,CD79A,TCL1A,XCL1,C1QA,C1QB,FABP4,CD33,CCR7,RGS16,NOTCH2,CD86,LILRA4,FASLG,MS4A4A,DCN,COL1A2,TAGLN,RGS5,KRT17,IGHG1,MLANA
2,IL7R,CXCR4,NR3C1,IL32,CD83,MS4A1,XCL2,C1QC,C1QC,PLVAP,ARG1,CD27,NRN1,CABLES1,CCR7,CD123,ID2,TNFSF8,PTGDS,COL3A1,MYL9,IGFBP7,LTF,IGKV1-5,MITF
3,SARAF,KLRB1,DUSP4,BATF,CD37,CD37,AREG,CCL3,CXCL9,RAMP2,NOS2,BTLA,IKZF2,CERK,CD1A,TCF4,LAG3,CXCL10,CFD,LUM,TPM2,NDUFA4L2,KRT15,IGKV3-20,
4,SELL,TNFAIP3,TNFRSF18,FOXP3,BANK1,CD74,KLRD1,CCL3L3,C1QA,VWF,CD68,CD40LG,TBC1D4,MTMR3,CD1C,IRF7,RGS1,EEF1B2,LUM,SFRP2,NDUFA4L2,CCL2,PTN,IGKV3-11,
5,CD3E,RGCC,CD200,TIGIT,HLA-DRA,LINC00926,NKG7,SEPP1,APOE,AQP1,CD163,IL2RA,NR4A2,RELB,CD11b,IRF8,CCL3 CCL3L1,ID3,C1S,POSTN,SOD3,CCL21,MGP,IGKV1-9,
6,ZFP36L2,CD69,TNFRSF4,TNFRSF18,CD74,HLA-DQB1,TRDC,TYROBP,TYROBP,CLDN5,LAIR1,CD3E,GPM6B,KLF3,CD11C,TLR7,KIAA1671,IL7R,CXCL12,MMP11,ADIRF,COL18A1,TACSTD2,IGKC,
7,GPR183,CD40LG,ITM2A,CTLA4,HLA-DQB1,HLA-DRA,KLRC1,MS4A6A,CCL8,SPARCL1,IL34,CD47,ENDOD1,CAMK2D,CD14,TLR9,SH2D2A,JUN,C3,CTHRC1,MYH11,CALD1,MMP7,IGLV2-14,
8,BTG1,TSC22D3,CD2,CARD16,VPREB3,CD79B,GZMB,APOE,LYZ,GNG11,,EOMES,FCRL1,CCNG2,CD16,IFNA,DUSP2,LTB,SFRP2,FN1,RGS5,LHFP,SCGB3A1,IGKV4-1,
9,PASK,CREM,SRGN,TRAC,IGHA1,VPREB3,CTSW,CXCL8,FCER1G,PECAM1,,GNLY,LRIG1,SLC25A33,CD40,IFNB,PDCD1,XCL1,CXCL14,SPARC,RERGL,THY1,KRT5,IGLV3-25,
10,YPEL5,CD52,IGFL2,IL2RA,HLA-DQA1,BANK1,KLRB1,MS4A7,FAM26F,ENG,,GZMA,MARCKS,PIM3,CD83,IL6,CD7,SOCS3,CCDC80,DCN,IGFBP7,CPE,CRYAB,IGLV1-40,
11,FXYD5,GPR183,CTLA4,CD27,IGHM,IGHD,CD7,RNASE1,HLA-DRA,EGFL7,,GZMB,NR4A3,RNF149,CD123,TNFA,NR4A2,TRAF1,MFAP4,COL6A3,CALD1,MYL9,CXCL2,IGLV1-44,
12,LEPROTL1,YPEL5,KLRB1,DUSP4,CD79B,FCER2,HOPX,CD68,CXCL11,HSPG2,,PRF1,LTA,SWAP70,CD141,,CD160,EMB,FBLN1,BGN,SPARCL1,SPARC,SAA1,IGHV6-1,
13,CD40LG,SRGN,RGS1,ICOS,HLA-DPB1,HVCN1,CCL5,PLTP,CD68,RAMP3,,IFNG,SYNJ2,PINK1,CX3CR1,,PTPN22,CRTAM,GSN,COL6A2,MT1M,COL4A1,CLDN4,IGLC2,
14,SLC2A3,CD3D,TIGIT,CD2,HLA-DQA2,HLA-DPB1,CD69,AIF1,HLA-DRB5,A2M,,CD8A,NR4A1,RAB2A,CD209,,ABI3,EEF1G,CTSK,COL6A1,C11orf96,TAGLN,WFDC2,IGLV1-51,
15,LDHB,CD2,CD3D,PMAIP1,IRF8,ADAM28,CMC1,F13A1,HLA-DRB1,SPRY1,,CD8B,HSPA4L,FAM168B,EpCAM,,PTGER4,CD9,SERPINF1,CTGF,PPP1R14A,STEAP4,MYLK,IGHV3-23,
16,EEF1B2,TRAC,CD40LG,RGS1,HLA-DPA1,FCMR,GZMA,HLA-DRA,HLA-DQA1,CLEC14A,,CD95L,PTPRS,MAP2K7,HLA-DR,,GZMK,ITGB1,RARRES2,AEBP1,MFGE8,ACTA2,TM4SF1,IGHV3-21,
17,CYTIP,GPR171,BATF,AC133644.2,ARHGAP24,CD83,IL2RB,APOC1,CCL3,RBP7,,LAMP1,EGR2,MIR466I,CD207,,GZMA,GPR183,SFRP4,COL5A2,PLAC9,COL4A2,SFRP1,IGLV3-21,
18,FYB,BIRC3,SH2D1A,TNFRSF9,ADAM28,LAPTM5,CCL4,CTSB,HLA-DPA1,EMCN,,LAG3,CYTH3,ASAP1,CD172A,,MBNL1,ZFP36L1,C1R,VCAN,DSTN,TIMP1,AZGP1,IGLC3,
19,CREM,PTGER4,RBPJ,TNFRSF1B,LINC00926,NCF1,DUSP2,HLA-DPA1,PLEK,IGFBP7,,CTLA4,YPEL2,GRASP,XCR1,,VMP1,SLAMF6,IGF2,CTSK,PTP4A3,IGFBP5,DST,IGLV1-47,
20,RHOH,SLC2A3,PDCD1,SPOCK2,LY9,BACH2,REL,HLA-DRB1,CTSB,ADGRL4,,HLA-DRA,SKIL,POU2AF1,,,PLAC8,LY6E,CYR61,RARRES2,MCAM,NOTCH3,KRT8,IGHV3-30,
21,LIMD2,ZFP36L2,RNF19A,TBC1D4,HLA-DRB5,BTG1,ZNF683,DAB2,CD74,ID1,,TNFRSF4,NAB2,GATA3,,,RGS3,,CTGF,TIMP1,SORBS2,PDGFRB,CSRP1,IGLV3-1,
22,GIMAP7,LEPROTL1,FKBP5,IL2RG,POU2F2,HLA-DPA1,SRGN,CD14,GBP1,NPDC1,,ICOS,SOAT1,B3GNT2,,,EFHD2,,SERPING1,CCDC80,COL18A1,BGN,ACTG2,IGLV2-23,
23,TCF7,CD3E,TRAC,BIRC3,MEF2C,CD52,SYTL3,HLA-DQA1,AIF1,ESAM,,TNFRSF9,GALM,FAS,,,GLRX,,IGFBP6,MMP2,TINAGL1,SERPING1,MT1X,IGLV2-11,
24,RGCC,ICOS,FYB,S100A4,RALGPS2,HLA-DQA1,TNFRSF18,HLA-DPB1,APOC1,CALCRL,,TNFRSF18,TOX,PIAS2,,,CXCR6,,MMP2,SFRP4,CAV1,TIMP3,KRT7,IGHV4-39,
25,CD48,CYTIP,CD3E,RTKN2,LAPTM5,FAM129C,CST7,IL1B,ISG15,CAV1,,,REEP3,FOXO1,,,ARL6IP1,,IGFBP4,CXCL14,TPM1,HIGD1B,TAGLN,JCHAIN,
26,RPSA,TAGAP,PGM2L1,CD7,CD52,IGHM,MATK,CD74,HLA-DPB1,IGFBP3,,,MDH1,SEC24B,,,CCL4,,COL6A2,ASPN,MT1E,COL6A2,CLU,IGHG3,
27,PABPC1,SAMSN1,IL21,ARID5B,FCMR,CD72,LDLRAD4,FCER1G,MS4A6A,IFI27,,,EPHX1,TUBB2B,,,ISG15,,MEG3,THY1,PLN,COX4I2,MT1E,IGHV1-18,
28,FLT3LG,PPP2R5C,TOX,GK,CD19,SELL,FCER1G,FCGR3A,SOD2,RNASE1,,,SSH1,PARP3,,,LAX1,,IGF1,MFAP2,CSRP2,TPM2,PDLIM3,IGHV1-46,
29,CD3D,PTPRC,SPOCK2,CD3D,SMIM14,HLA-DMB,PRF1,GPX1,HLA-DQB1,CD34,,,CREM,PIGH,,,CD8A,,SRPX,C1S,PRKCDBP,MT1M,SFN,CH17-224D4.2,
30,TSC22D3,ELF1,BIRC3,TRBC2,CD69,POU2F2,KLRF1,LYZ,CCL2,SDPR,,,PACSIN1,BRAP,,,SERPINA3,,COL3A1,SERPINF1,MYLK,GGT5,MAFF,IGLV2-8,
31,GPSM3,TRAT1,PTPRC,TRBC1,NCF1,STAG3,KRT86,HLA-DRB5,C15orf48,IFITM3,,,,CD19,,,,,AEBP1,,,,SLPI,IGKV1-8,
32,ANXA1,TRBC2,LAT,CREM,LTB,CD19,CRTAM,FCGR2A,FCGR3A,IGFBP4,,,,IL2RG,,,,,,,,,CCL28,IGLV4-69,
33,CAMK4,RORA,TRBC2,CYTIP,FCRLA,MEF2C,,FOLR2,PSAP,FKBP1A,,,,SNTB1,,,,,,,,,FBXO32,IGHG4,
34,PIK3IP1,RGS1,,SAMSN1,,RCSD1,,PSAP,SERPINA1,TM4SF1,,,,KDM5B,,,,,,,,,PERP,IGKV1-16,
35,MAL,LINC-PINT,,PIM2,,STK17A,,CXCL2,TNFSF13B,PLPP1,,,,UTP15,,,,,,,,,KRT18,IGKV3D-11,
36,ARHGDIB,STK4,,SH2D2A,,LIMD2,,HLA-DQB1,TYMP,HYAL2,,,,LATS2,,,,,,,,,CNN1,IGHA1,
37,,,,,,IL4R,,CYBB,GRN,SLC9A3R2,,,,RASSF2,,,,,,,,,CXCL14,IGHV3-15,
38,,,,,,TXNIP,,FCGRT,SPI1,CRIP2,,,,IFI30,,,,,,,,,,IGHV3-74,
39,,,,,,IRF8,,STAB1,APOBEC3A,PDLIM1,,,,KDM4B,,,,,,,,,,IGLV3-19,
40,,,,,,TNFRSF13C,,SGK1,IFIT2,COL15A1,,,,IER5,,,,,,,,,,,
41,,,,,,HLA-DMA,,CD83,CTSC,COL4A1,,,,CD5,,,,,,,,,,,
42,,,,,,HLA-DQA2,,CST3,IL1B,EPAS1,,,,MNDAL,,,,,,,,,,,
43,,,,,,SNX2,,LGMN,CD14,PRCP,,,,PCGF5,,,,,,,,,,,
44,,,,,,HLA-DRB5,,CCL4L2,CXCL8,PALMD,,,,GPR35,,,,,,,,,,,
45,,,,,,RALGPS2,,PLAUR,SPP1,EMP1,,,,SPRY1,,,,,,,,,,,
46,,,,,,,,MRC1,TMEM176B,CD36,,,,TNIP1,,,,,,,,,,,
47,,,,,,,,CTSZ,CCL3L3,CD93,,,,CSNK1D,,,,,,,,,,,
48,,,,,,,,SAT1,CTSD,TCF4,,,,NSMCE1,,,,,,,,,,,
49,,,,,,,,CSF1R,CYBB,SOCS3,,,,NR4A1,,,,,,,,,,,
50,,,,,,,,NPC2,IL4I1,PTRF,,,,OSBPL11,,,,,,,,,,,
51,,,,,,,,C5AR1,G0S2,COL4A2,,,,PNRC1,,,,,,,,,,,
52,,,,,,,,MAFB,LILRB4,FLT1,,,,ITGAE,,,,,,,,,,,
53,,,,,,,,HLA-DMA,CTSZ,PDK4,,,,SNX18,,,,,,,,,,,
54,,,,,,,,SOD2,GPX1,CYYR1,,,,TMEM55B,,,,,,,,,,,
55,,,,,,,,TMEM176A,CTSS,ID3,,,,IKZF2,,,,,,,,,,,
56,,,,,,,,TMEM176B,BCL2A1,CXorf36,,,,ISCU,,,,,,,,,,,
57,,,,,,,,SPI1,IL1RN,BCAM,,,,FAM196B,,,,,,,,,,,
58,,,,,,,,MMP19,PLAUR,,,,,TMEM243,,,,,,,,,,,
59,,,,,,,,CTSD,NPC2,,,,,ZFP62,,,,,,,,,,,
60,,,,,,,,GRN,CST3,,,,,RASGEF1B,,,,,,,,,,,
61,,,,,,,,MS4A4A,,,,,,DTWD1,,,,,,,,,,,
62,,,,,,,,CXCL3,,,,,,GNA13,,,,,,,,,,,
63,,,,,,,,SLCO2B1,,,,,,JAK2,,,,,,,,,,,
64,,,,,,,,CD163,,,,,,EIF3F,,,,,,,,,,,
65,,,,,,,,,,,,,,CCR7,,,,,,,,,,,
66,,,,,,,,,,,,,,SGPP1,,,,,,,,,,,
67,,,,,,,,,,,,,,SLAMF7,,,,,,,,,,,
68,,,,,,,,,,,,,,QRICH1,,,,,,,,,,,
69,,,,,,,,,,,,,,EML4,,,,,,,,,,,
70,,,,,,,,,,,,,,CACNB3,,,,,,,,,,,
